Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,46.5,127.74,16.53,16.49,33.02,4.04,34.97,0.78,25.31,0.21,,,,3.05,8.2,39.83,99.9,2.94,94.05,,0.0,76.28,,
2024-01-01 00:15:00,51.5,126.9,17.71,15.14,32.83,3.86,34.4,0.81,25.76,0.21,,,,6.77,2.16,39.86,99.9,2.94,94.16,,0.0,76.28,,
2024-01-01 00:30:00,51.5,126.9,17.96,15.23,33.18,3.85,34.37,0.86,26.11,0.21,,,,6.14,0.65,39.88,99.9,2.94,94.1,,0.0,76.28,,
2024-01-01 00:45:00,51.5,126.9,18.21,16.92,35.12,3.62,33.52,0.9,26.17,0.21,,,,0.34,1.17,39.9,99.9,2.95,94.03,,0.0,76.28,,
2024-01-01 01:00:00,51.39,125.22,18.94,15.51,34.46,3.85,34.04,0.91,25.86,0.21,,,,0.47,2.45,39.89,99.9,2.93,94.06,,0.0,76.28,,
2024-01-01 01:15:00,42.0,101.7,20.04,14.66,34.69,4.18,34.15,0.92,24.49,0.21,,,,0.44,2.69,39.88,99.9,2.94,94.06,,0.0,76.28,,
2024-01-01 01:30:00,42.0,101.7,20.69,15.9,36.61,3.9,34.16,0.94,25.39,0.21,,,,4.39,2.77,39.89,99.9,2.94,94.02,,0.0,76.28,,
2024-01-01 01:45:00,42.0,101.7,20.69,16.66,37.36,3.27,33.52,0.91,25.18,0.21,,,,7.97,8.46,39.87,99.9,2.93,94.15,,0.0,76.28,,
2024-01-01 02:00:00,42.0,103.86,20.65,16.01,36.67,3.17,33.29,0.95,25.39,0.21,,,,3.86,7.04,39.88,99.9,2.94,94.2,,0.0,76.28,,
2024-01-01 02:15:00,58.0,134.1,21.05,14.81,35.85,3.79,33.62,0.95,25.14,0.21,,,,1.92,0.78,39.89,99.9,2.94,94.17,,0.0,76.28,,
2024-01-01 02:30:00,58.0,134.1,21.17,14.95,36.11,3.45,,,,0.21,,,,8.72,2.57,39.89,99.9,2.93,94.14,,0.0,76.28,,
2024-01-01 02:45:00,58.0,134.1,20.9,15.08,35.98,4.14,33.89,0.94,25.77,0.21,,,,12.5,2.77,39.9,99.9,2.92,94.38,,0.0,76.28,,
2024-01-01 03:00:00,58.0,131.58,20.34,16.26,36.61,3.51,33.42,0.95,25.82,0.75,,,,1.25,0.66,39.91,99.9,2.92,94.58,,0.0,76.28,,
2024-01-01 03:15:00,39.5,96.3,20.71,16.05,36.78,2.48,32.66,0.93,24.66,0.9,,,,2.78,3.97,39.88,99.9,2.92,94.59,,0.0,76.28,,
2024-01-01 03:30:00,39.5,96.3,21.03,14.42,35.45,3.71,33.17,0.95,24.65,0.28,,,,10.0,5.83,39.88,99.9,2.93,94.52,,0.0,76.28,,
2024-01-01 03:45:00,39.5,96.3,22.01,12.84,34.85,4.11,34.12,0.95,25.09,0.3,,,,9.13,1.33,39.86,99.9,2.93,94.32,,0.0,76.28,,
2024-01-01 04:00:00,39.5,97.8,22.56,13.22,35.78,3.67,34.25,0.95,25.83,0.21,,,,1.15,0.15,39.85,99.9,2.92,94.52,,0.0,76.28,,
2024-01-01 04:15:00,48.5,118.8,23.58,12.76,36.36,3.36,33.59,0.94,25.48,0.21,,,,3.3,1.7,39.86,99.9,2.92,94.65,,0.0,76.28,,
